Key,Value
game.item.pickaxeT2,Pioche T2
game.item.pickaxeT3,Pioche T3
game.item.desc.pickaxeT0,Pioche de fortune, utile pour casser des trucs.
game.item.desc.pickaxeT1,Pioche basique, utile pour casser des trucs.
game.item.desc.pickaxeT2,Pioche, utile pour casser des trucs.
game.item.desc.pickaxeT3,Pioche, utile pour casser des trucs.
game.item.hammerT1,Marteau
game.item.Spade,Pelle
game.item.desc.hammerT1,Utile pour démonter des bâtiments et machines.
game.item.desc.Spade,Utile pour déplanter ou pour creuser un trou.
game.item.nailGun,Pistolet à clous
game.item.desc.nailGun,A besoin de clous
game.item.nail,Clou
game.item.desc.nail,Utile avec un pistolet à clous
game.item.shotgunT1,Fusil à pompe
game.item.shotgunT2,Fusil à pompe
game.item.desc.shotgunT1,Fusil à pompe
game.item.desc.shotgunT2,Fusil à pompe
game.item.swordT0,Tuyau
game.item.swordT1,Machette
game.item.desc.swordT0,Arme de mêlée
game.item.desc.swordT1,Arme de mêlée
game.item.BatT0,Batte de baseball
game.item.desc.BatT0,Arme de mêlée
game.item.SpearT0,Lance
game.item.desc.SpearT0,Arme de mêlée
game.item.DiskLauncherT1,Lanceur de disque
game.item.desc.DiskLauncherT1,Lanceur de lame de scie circulaire
game.item.RifleT1,Fusil d'assault
game.item.desc.RifleT1,
game.item.RifleT2,Fusil d'assault
game.item.desc.RifleT2,
game.item.HandGunT1,Pistolet
game.item.desc.HandGunT1,
game.item.RocketLauncherT1,Lance roquette
game.item.desc.RocketLauncherT1,
game.item.ammoT0,Munition basique
game.item.ammoT1,Munition améliorée
game.item.ammoT2,Munition radioactive
game.item.ammoCircularBladeT0,Lame de scie circulaire
game.item.AmmoRocketT0,Roquette
game.item.desc.ammoT0,
game.item.desc.ammoT1,
game.item.desc.ammoT2,
game.item.desc.ammoCircularBladeT0,Utile pour le lanceur de disque.
game.item.desc.AmmoRocketT0,A utiliser avec le lance-roquette.
game.craft.multiSeed,Trouver des graines
game.craft.desc.multiSeed,Que va t'on trouver ?
game.item.SeedApple,Pépin de pomme
game.item.SeedBeetroot,Graine de betterave
game.item.SeedBush,Graine de buisson
game.item.SeedCactus,Graine de cactus
game.item.SeedCypressTree,Graine de Cupressus
game.item.SeedJapaneseCherryTree,Graines de Prunus serrulata
game.item.SeedOakTree,Gland
game.item.SeedOak2Tree,Gland 2
game.item.SeedOak3Tree,Gland 3
game.item.SeedPineTree,Graine de pin
game.item.SaplingAppleTree,Pousse de pommier
game.item.SaplingCypressTree,Pousse de Cupressus
game.item.SaplingJapaneseCherryTree,Pousse de Prunus serrulata
game.item.SaplingOakTree,Pousse de chêne
game.item.SaplingOak2Tree,Pousse de chêne 2
game.item.SaplingOak3Tree,Pousse de chêne 3
game.item.SaplingPineTree,Pousse de pin
game.item.AppleTree,Pommier
game.item.CypressTree,Cupressus
game.item.JapaneseCherryTree,Prunus serrulata
game.item.OakTree,Chêne
game.item.Oak2Tree,Chêne 2
game.item.Oak3Tree,Chêne 3
game.item.PineTree,Pin
game.item.Cactus,Cactus
game.item.desc.seed,Plantez-la
game.item.desc.Cactus,Contient de l'eau
game.item.desc.sapling,Replantez-la
game.item.desc.tree,Un arbre, vivant!
game.item.apple,Pomme
game.item.Adrenaline,Adrénaline
game.item.Bandage,Bandage
game.item.beetroot,Betterave
game.item.GloupyGloupa,Gloupy Gloupa
game.item.MedKit,Kit de soin
game.item.PainKiller,Anti-douleur
game.item.desc.apple,
game.item.desc.Adrenaline,
game.item.desc.Bandage,
game.item.desc.beetroot,
game.item.desc.GloupyGloupa,
game.item.desc.MedKit,
game.item.desc.PainKiller,
game.building.AnalyserBluePrintT2,Station d'analyse
game.building.articulatedArmT0,Bras articulé de fortune
game.building.articulatedArmT2,Bras articulé
game.building.assemblerT2,Station d'assemblage
game.building.BedT0,Lit de camp
game.building.BedT1,Lit
game.building.chestT0,Coffre de fortune
game.building.chestT1,Coffre
game.building.composterT1,Composteur T1
game.building.composterT2,Composteur T2
game.building.ComposterReservoirT2,Réservoir à composter
game.building.crusherT0,Broyeur basique
game.building.crusherT2,Broyeur avancé
game.building.ForgeT2,Forge
game.building.furnaceT0,Feu de camp
game.building.furnaceT1,Four
game.building.furnaceT2,Fonderie
game.building.planterT0,Planteur T0
game.building.planterT1,Planteur T1
game.building.planterLargeT0,Planteur large T0
game.building.planterLargeT1,Planteur large T1
game.building.PrinterT2,Imprimante
game.building.ResearchStationBluePrintT1,Station de recherche
game.building.seedMaker,Extracteur de graines
game.building.trashBagSorterT2,Trieur de déchets
game.building.WaterCollectorT2,Collecteur d'eau
game.building.workbenchChemicalT1,Plan de travail chimique
game.building.workbenchT0,Plan de travail
game.building.workbenchGearT0,Plan de travail d'équipement
game.building.blueprint.desc,Plan prêt à être placé.
game.building.desc.composterT1,Plan prêt à être placé. Mettez des déchets organiques broyez et laissez reposer.
game.villa.foundation,Fondations
game.villa.groundFloor,Rez de chaussée
game.villa.level1,Premier étage
game.villa.level2,Toit
game.pond.manualPump,Pompe manuelle
game.pond.autoPump,Pompe automatique
game.pond.depollute,Dépollution
game.buildingUpgradable.bridge,Pont
game.buildingUpgradable.pumpAuto,Pompe automatique
game.buildingUpgradable.baseWarehouse,Serre
game.villa.furnace,Four
game.pond.acidLevel,Acide restant: {0}
game.attribute.range,Portée
game.attribute.areaSize,Zone
game.attribute.efficiency,Efficacité
game.attribute.useSpeed,Vitesse d'utilisation
game.attribute.numberTargetHit,Nombre de cibles
game.attribute.energyCost,Coût en énergie
game.attribute.explosionRange,Portée d'explosion
game.attribute.craftDuration,Temps de fabrication
game.attribute.craftSpeed,Vitesse de fabrication
game.attribute.growSpeed,Vitesse de pousse
game.attribute.storageStack,Stockage
game.attribute.storageSlot,Emplacement de stockage
game.attribute.processingPower,Puissance de calcul
game.attribute.processingTime,Temps de calcul
game.attribute.bedRestoreHealth,Récupération de santé
game.attribute.bedRestoreEnergy,Récupération d'énergie
game.attribute.energy,Energie
game.attribute.health,Santé
game.attribute.attackSpeed,Vitesse d'attaque
game.attribute.damage,Dommage
game.interact.save,Sauvegarder
game.interact.use,Utiliser
game.goal,Objectifs
game.goal.gather.progress,Ramasser: {0} {1}
game.goal.build.progress,Placer: {0} {1}
game.goal.craft.progress,Fabriquer: {0} {1}
game.goal.gather.boolean,Ramasser: {0}
game.goal.build.boolean,Placer: {0}
game.goal.craft.boolean,Fabriquer: {0}
game.goal.plant.progress,Planter: {0} {1}
game.goal.craft.beetroot,Utiliser l'extracteur de graines pour obtenir des {0}
game.goal.craft.openTrashBag,Ouvrir des sacs poubelles {0}
game.goal.progress.AmmoInAmmoSlot,Ouvrez l'inventaire et placez les munitions dans l'emplacement à munition
game.goal.cmd.move,Déplacement: [{0}] [{1}] [{2}] [{3}]
game.goal.cmd.use,Interagir: [{0}]
game.goal.cmd.inventory,Ouvrir l'inventaire: [{0}]
game.goal.cmd.building,Ouvrir la fenêtre de craft des machines: [{0}]
game.goal.cmd.map,Ouvrir la carte: [{0}]
game.goal.cmd.roll,Faire une roulade: [{0}]
game.goal.cmd.research,Ouvrir la fenêtre de recherche: [{0}]
game.goal.progress.planterFertilize,Utiliser de l'engrais sur une plante {0}
game.goal.progress.floorTileFertilize,Utiliser de l'engrais sur une dalle de terre {0}
game.goal.progress.floorTileFertilizeMax,Améliorer une dalle de terre au maximum
game.goal.progress.saveBed,Interagir avec un lit pour sauvegarder et récupérer de la vie et de l'énergie.
game.goal.progress.saveBunker,Interagir avec le bunker pour sauvegarder et récupérer de la vie et de l'énergie
game.goal.progress.villaUpgrade1,Réparer un étage du manoir
game.goal.progress.greenhouseUpgrade,Réparer la serre
game.goal.tier.tutorial.gather,Ramasser des ressources
game.goal.tier.tutorial.craftWorkbench,Fabriquer un plan de travail
game.goal.tier.tutorial.placeWorkbench,Placer votre plan de travail
game.goal.tier.tutorial.cmd,Déplacement
game.goal.tier.tutorial.ui,Interface
game.goal.tier.progress.phase1.tool,Une amélioration
game.goal.tier.progress.phase1.weapon,Armement
game.goal.tier.progress.phase2,Recherche
game.goal.tier.progress.planter,Plantation
game.goal.tier.progress.fertilizer,Engrais
game.goal.tier.progress.fertilizerFloorMax,Résurrection
game.goal.tier.progress.save,Sauvegarde
game.goal.tier.progress.repair,Réparation
game.save,Sauvegarde
game.pause.settings,Options
game.pause.resume,Continuer
game.pause.mainMenu,Menu principal
settings,Options
settings.graphics,Graphismes
settings.sounds,Audio
settings.controls,Commandes
settings.general,Général
settings.language,Langue
settings.showGoals,Afficher les objectifs
settings.resolution,Résolution
settings.fullscreenMode,Mode fenêtré 
settings.antialiasing,Anticrénelage
settings.ambientOcclusion,Occlusion ambiante
settings.shadowQuality,Qualité des ombres
settings.vSync,V-Sync
settings.frameRate,Images par seconde
settings.frameRate.unlimited,Illimité
settings.on,On
settings.off,Off
settings.showCurrentRecipe,Voir la recette sur l'overlay
settings.quality.off,Off
settings.quality.lowest,Très faible
settings.quality.low,Faible
settings.quality.medium,Moyen
settings.quality.hight,Elevée
settings.quality.ultra,Ultra
settings.fullscreenMode.fullscreen,Plein écran
settings.fullscreenMode.borderless,Sans bordure
settings.fullscreenMode.window,Fenêtré
settings.musicVolume,Volume de la musique
settings.effectVolume,Volume des effets
settings.key.forward,Avant
settings.key.backward,Arrière
settings.key.left,Gauche
settings.key.right,Droite
settings.key.roll,Roulade
settings.key.menu,Menu
settings.key.pause,Pause
settings.key.use,Utiliser
settings.key.inventory,Inventaire
settings.key.building,Bâtiment
settings.key.map,Carte
settings.key.research,Recherche
settings.key.rotateBuilding,Rotation bâtiment
settings.key.stackSplit,Division de pile
settings.key.stackTransfer,Transfert de pile
settings.key.cameraZoomOut,Caméra zoom arrière
settings.key.cameraZoomIn,Caméra zoom avant
settings.key.reverseWheelDirection,Inverser le sens de la molette
settings.button.apply,Appliquer
settings.button.default,Par défaut
eof,eof

